Sample_ID	Mouse_ID	Treatment	AMH	FSH_Multiplex	FSH_US	INHBA	Cohort	FSH_normalized	FSH_combined
26	MM051	FMT_YF	148.908	45.5	NA	136.416	FMT_1	NA	45.5
27	MM052	FMT_YF	92.294	5.44	NA	295.465	FMT_1	NA	5.44
28	MM058	FMT_EF	172.532	1.91	NA	1364.425	FMT_1	NA	1.91
29	MM059	FMT_EF	95.114	33.91	NA	138.955	FMT_1	NA	33.91
30	MM060	FMT_EF	101.046	0.24	NA	741.872	FMT_1	NA	0.24
31	MM061	FMT_YF	101.056	10.29	NA	279.166	FMT_1	NA	10.29
32	MM062	FMT_YF	97.683	4.87	NA	311.834	FMT_1	NA	4.87
33	MM063	FMT_YF	112.079	4.17	NA	799.617	FMT_1	NA	4.17
34	MM064	FMT_YF	87.296	5.98	NA	457.674	FMT_1	NA	5.98
35	MM065	FMT_YF	157.335	32.66	NA	134.655	FMT_1	NA	32.66
36	MM066	FMT_EF	166.047	37.31	NA	436.122	FMT_1	NA	37.31
37	MM067	FMT_EF	198.871	2.49	NA	347.353	FMT_1	NA	2.49
38	MM068	FMT_EF	130.389	3.09	NA	770.907	FMT_1	NA	3.09
39	MM070	FMT_EF	131.463	7.86	NA	361.815	FMT_1	NA	7.86
1144	MM157	FMT_YF	155.68	NA	0.024	655	FMT_2	13.9939659662806	13.9939659662806
1145	MM158	FMT_YF	153.44	NA	0.025	918.5	FMT_2	13.9894335217287	13.9894335217287
1146	MM159	FMT_YF	194.16	NA	0.178	415.3	FMT_2	13.3119894863395	13.3119894863395
1147	MM160	FMT_YF	183.11	NA	0.191	602.3	FMT_2	13.2558961224582	13.2558961224582
1148	MM161	FMT_YF	125.65	NA	0.302	476.9	FMT_2	12.7863033395289	12.7863033395289
1149	MM162	FMT_EF	167.58	NA	0.168	554.4	FMT_2	13.3552946065168	13.3552946065168
1150	MM163	FMT_EF	204.43	NA	0.107	436.1	FMT_2	13.6224005190766	13.6224005190766
1151	MM164	FMT_EF	211.75	NA	0.202	385.3	FMT_2	13.2086120024521	13.2086120024521
1152	MM165	FMT_EF	158.66	NA	0.148	653.9	FMT_2	13.4423127913847	13.4423127913847
1153	MM166	FMT_EF	231.81	NA	0.116	561.8	FMT_2	13.5826732532901	13.5826732532901
