Sample_ID	Mouse_ID	Treatment	AMH	FSH	LH	INHBA	Age	Description
26	MM051	FMT_YF	148.908	45.5	0.12	136.416	21	FMT_YF_MM051
27	MM052	FMT_YF	92.294	5.44	0.12	295.465	21	FMT_YF_MM052
28	MM058	FMT_EF	172.532	1.91	0.12	1364.425	21	FMT_EF_MM058
29	MM059	FMT_EF	95.114	33.91	0.12	138.955	21	FMT_EF_MM059
30	MM060	FMT_EF	101.046	0.24	0.12	741.872	21	FMT_EF_MM060
31	MM061	FMT_YF	101.056	10.29	0.12	279.166	21	FMT_YF_MM061
32	MM062	FMT_YF	97.683	4.87	0.12	311.834	21	FMT_YF_MM062
33	MM063	FMT_YF	112.079	4.17	0.12	799.617	21	FMT_YF_MM063
34	MM064	FMT_YF	87.296	5.98	0.12	457.674	21	FMT_YF_MM064
35	MM065	FMT_YF	157.335	32.66	0.12	134.655	21	FMT_YF_MM065
36	MM066	FMT_EF	166.047	37.31	0.96	436.122	21	FMT_EF_MM066
37	MM067	FMT_EF	198.871	2.49	0.12	347.353	21	FMT_EF_MM067
38	MM068	FMT_EF	130.389	3.09	0.12	770.907	21	FMT_EF_MM068
39	MM070	FMT_EF	131.463	7.86	0.12	361.815	21	FMT_EF_MM070
