MouseID	Primordial	Primary	Secondary	Antral	CL	FMT	Cohort
MM051	0	4	1	1	3	YF_FMT	1
MM052	0	0	2	2	6	YF_FMT	1
MM058	0	0	2	6	2	EF_FMT	1
MM059	0	0	1	1	5	EF_FMT	1
MM060	1	0	2	5	4	EF_FMT	1
MM061	1	1	2	1	5	YF_FMT	1
MM062	0	3	0	1	2	YF_FMT	1
MM063	3	1	0	0	6	YF_FMT	1
MM064	0	1	2	0	2	YF_FMT	1
MM065	1	1	3	4	1	YF_FMT	1
MM066	1	1	0	5	5	EF_FMT	1
MM067	1	5	2	4	5	EF_FMT	1
MM068	0	3	2	2	3	EF_FMT	1
MM070	1	2	3	4	3	EF_FMT	1
MM173	3	4	4	5	0	YF_FMT	2
MM174	1	2	1	3	1	YF_FMT	2
MM175	1	4	2	1	2	YF_FMT	2
MM176	0	1	1	2	1	YF_FMT	2
MM177	1	1	2	3	0	YF_FMT	2
MM178	1	2	4	6	0	EF_FMT	2
MM179	1	3	3	7	1	EF_FMT	2
MM180	1	3	3	3	1	EF_FMT	2
MM181	1	5	4	4	4	EF_FMT	2
MM182	1	5	5	3	1	EF_FMT	2
