MouseID FMT combined AMH_score FSH_score INHBA_score follicleCounts Ovarian_Health_Index Ovarian_Health_Index_100
MM051 YF_FMT 9 3 4 1 1 2.25 56.25
MM052 YF_FMT 10 1 2 2 2 1.75 43.75
MM058 EF_FMT 10 4 1 4 2 2.75 68.75
MM059 EF_FMT 7 1 4 1 1 1.75 43.75
MM060 EF_FMT 12 2 1 4 4 2.75 68.75
MM061 YF_FMT 10 2 3 1 2 2 50
MM062 YF_FMT 6 1 2 2 1 1.5 37.5
MM063 YF_FMT 10 2 2 4 2 2.5 62.5
MM064 YF_FMT 5 1 3 3 1 2 50
MM065 YF_FMT 10 4 4 1 2 2.75 68.75
MM066 EF_FMT 12 4 4 3 4 3.75 93.75
MM067 EF_FMT 17 4 1 2 4 2.75 68.75
MM068 EF_FMT 10 3 1 4 2 2.5 62.5
MM070 EF_FMT 13 3 3 3 4 3.25 81.25
