sample-id	forward-absolute-filepath	reverse-absolute-filepath
Cohort2_AC_F_4m_1	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S1_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S1_2.fq.gz
Cohort2_AC_F_4m_2	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S2_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S2_2.fq.gz
Cohort2_AC_F_4m_3	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S3_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S3_2.fq.gz
Cohort2_AC_F_4m_4	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S4_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S4_2.fq.gz
Cohort2_AC_F_4m_5	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S5_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S5_2.fq.gz
Cohort2_AC_F_20m_1	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S6_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S6_2.fq.gz
Cohort2_AC_F_20m_2	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S7_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S7_2.fq.gz
Cohort2_AC_F_20m_3	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S8_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S8_2.fq.gz
Cohort2_AC_F_20m_4	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S9_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S9_2.fq.gz
Cohort2_AC_F_20m_5	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S10_1.fq.gz	/Users/minhookim/Dropbox/Benayoun_lab/Projects/Menopause_microbiome_project/Data/Raw_sequencing_data/Amplicon_sequencing/AC_donors/Cohort2/S10_2.fq.gz
