Cage_num	Start_date	Birth_date	Latency	Num_pups	FMT	Cohort	Status
1	6/15/21	7/10/21	25	9	FMT_YF	1	1
2	6/15/21	7/8/21	23	6	FMT_YF	1	1
3	6/15/21	7/8/21	23	5	FMT_YF	1	1
4	6/15/21	7/7/21	22	8	FMT_YF	1	1
5	6/15/21	7/7/21	22	5	FMT_YF	1	1
6	6/15/21	7/7/21	22	5	FMT_YF	1	1
7	6/15/21	7/8/21	23	9	FMT_YF	1	1
8	6/15/21	7/31/23	100	0	FMT_YF	1	1
9	6/15/21	7/7/21	22	8	FMT_EF	1	1
10	6/15/21	7/8/21	23	4	FMT_EF	1	1
11	6/15/21	7/6/21	21	7	FMT_EF	1	1
12	6/15/21	7/7/21	22	7	FMT_EF	1	1
13	6/15/21	7/6/21	21	6	FMT_EF	1	1
14	6/15/21	7/6/21	21	5	FMT_EF	1	1
15	6/15/21	7/6/21	21	8	FMT_EF	1	1
16	6/15/21	7/7/21	22	5	FMT_EF	1	1
17	1/3/23	1/25/23	22	8	FMT_YF	2	1
18	1/3/23	1/26/23	23	5	FMT_YF	2	1
19	1/3/23	1/25/23	22	7	FMT_YF	2	1
20	1/3/23	1/25/23	22	6	FMT_YF	2	1
21	1/3/23	7/31/23	100	0	FMT_YF	2	1
22	1/3/23	7/31/23	100	0	FMT_YF	2	1
23	1/3/23	1/26/23	23	6	FMT_YF	2	1
24	1/3/23	1/26/23	23	7	FMT_YF	2	1
25	1/3/23	1/26/23	23	10	FMT_YF	2	1
26	1/3/23	1/25/23	22	6	FMT_YF	2	1
27	1/3/23	1/26/23	23	7	FMT_EF	2	1
28	1/3/23	1/26/23	23	9	FMT_EF	2	1
29	1/3/23	1/26/23	23	7	FMT_EF	2	1
30	1/3/23	1/23/23	20	9	FMT_EF	2	1
31	1/3/23	1/24/23	21	9	FMT_EF	2	1
32	1/3/23	1/24/23	21	8	FMT_EF	2	1
33	1/3/23	1/23/23	20	5	FMT_EF	2	1
34	1/3/23	1/24/23	21	7	FMT_EF	2	1
35	1/3/23	1/25/23	22	9	FMT_EF	2	1
36	1/3/23	1/26/23	23	7	FMT_EF	2	1
