MHK258	MHK259	MHK260	MHK261	MHK262	MHK263	MHK264	MHK266	MHK267	MHK268	MHK269	MHK270
Faecalibaculum rodentium	-0.0949513951244629	-0.530269466382309	1.38932337435563	1.04212717437144	0.709421420545706	-0.220114538078469	-0.289107409565421	-1.13640526995263	-0.73094016184446	-0.289107409565421	-0.289107409565421	0.439131090805795
Christensenella minuta	0.125234788272877	0.125234788272877	-0.493804420133346	-0.830276656754558	-0.360273027508823	0.818381968832822	0.892489940986545	-0.242489991852439	0.504724409977781	-0.360273027508823	-0.0418192963902886	-0.137129476194612
Adlercreutzia equolifaciens	-0.104315021484929	0.232157215136283	0.132073756579301	-0.247415865125603	-0.039776500347358	0.406510602281061	0.554930607399335	-0.414469949788769	-0.173307892971881	-0.039776500347358	0.0208481214690774	-0.32745857279914
Butyrivibrio hungatei	0.0563397251822657	0.107633019569816	-0.690874676647955	-0.585514160990128	-0.690874676647955	0.873100861709388	0.825472812720133	-0.690874676647955	1.00372104412645	-0.115510531744393	0.156423183739248	-0.249041924368916
Parabacteroides chongii	0.042730353039663	-0.0983482452202429	0.276345204221169	0.16634430900684	0.16634430900684	-0.375979981818522	-0.503813353328407	0.118716260017585	-0.227559976700248	0.142813811596646	0.0160621059575021	0.276345204221169
Hoylesella buccalis	-0.155675799002007	0.115639295985568	0.163957873256376	0.085486257814881	-0.18199310731938	0.0438135614143125	-0.548237502274264	0.12549159242858	-0.309826478829265	0.3447058656029	0.115639295985568	0.200999144936725
Paenibacillus sp. FSL H8-0282	-0.348964009276159	0.312434472969207	-0.077030293792518	0.245743098470534	-0.231180973619775	0.0565010988320047	-0.482495401900682	0.174284134488389	-0.231180973619775	0.461966206940169	0.245743098470534	-0.12582045796195
Segatella hominis	-0.15975422776109	0.133232896920384	0.179752912555277	0.0844427327509516	-0.15975422776109	-0.00256864423867764	-0.608704447808993	0.148981253888524	-0.346340183341503	0.372124805202733	0.148981253888524	0.209605875704958
Anaeromicropila herbilytica	-0.116735765414603	0.0839349300475476	-0.36805019369551	-0.36805019369551	-0.704522430316722	0.576411415145342	0.519253001305394	-0.704522430316722	1.26955859570529	0.0839349300475476	0.250989014710713	-0.522200873522769
Anaerotignum propionicum	0.573769869151366	0.286087796699585	-0.589380940654314	-0.407059383860361	-0.589380940654314	0.796913420465575	0.845703584635007	-0.589380940654314	0.634394490967802	-0.252908704033102	0.103766239905632	-0.812524491968524
Roseburia hominis	-0.0475162913651861	0.172027975919376	-0.611633212181401	-0.530781115552306	-0.643721526732901	0.881862075264337	0.843303081660654	-0.550389586940682	0.737123229619425	-0.0841057387974784	0.237167278090338	-0.403336168984185
Novisyntrophococcus fermenticellae	-0.0581788575688851	0.124142699225069	-0.75132603812883	-0.463643965677051	-0.569004481334876	0.803303637810274	0.817289879785014	-0.368333785872725	0.922650395442841	-0.0920804092445664	0.204185406898605	-0.569004481334876
