Number	Percentage	Mouse_ID	Group
1	3.58764394	MM051	FMT_YF
2	3.807930927	MM051	FMT_YF
3	3.274586613	MM051	FMT_YF
4	7.459485738	MM052	FMT_YF
5	7.100709552	MM052	FMT_YF
6	6.867442114	MM058	FMT_EF
7	5.851319093	MM058	FMT_EF
8	4.829594236	MM058	FMT_EF
9	7.005862054	MM059	FMT_EF
10	4.682128114	MM059	FMT_EF
11	4.534134063	MM059	FMT_EF
12	1.195421765	MM060	FMT_EF
13	1.206565864	MM060	FMT_EF
14	1.059015256	MM060	FMT_EF
15	11.40937631	MM061	FMT_YF
16	13.44246899	MM061	FMT_YF
17	10.8616679	MM061	FMT_YF
18	13.47469004	MM062	FMT_YF
19	15.16656639	MM062	FMT_YF
20	8.05410399	MM062	FMT_YF
21	14.78178215	MM063	FMT_YF
22	14.31144368	MM063	FMT_YF
23	10.38008935	MM063	FMT_YF
24	7.211253191	MM066	FMT_EF
25	7.409418319	MM066	FMT_EF
26	5.207300553	MM066	FMT_EF
27	5.503892838	MM067	FMT_EF
28	5.855163311	MM067	FMT_EF
29	5.595653309	MM067	FMT_EF
30	4.320394139	173	FMT_YF
31	4.395692688	173	FMT_YF
32	5.760645542	173	FMT_YF
33	3.560421287	174	FMT_YF
34	4.08449252	174	FMT_YF
35	4.199671311	174	FMT_YF
36	3.67957466	175	FMT_YF
37	2.992424582	175	FMT_YF
38	3.570170121	175	FMT_YF
39	6.667790625	176	FMT_YF
40	7.060549038	176	FMT_YF
41	8.441761014	176	FMT_YF
42	5.056357107	177	FMT_YF
43	5.079144994	177	FMT_YF
44	6.282364796	177	FMT_YF
45	2.094923652	178	FMT_EF
46	2.159097918	178	FMT_EF
47	3.404903397	178	FMT_EF
48	3.526439382	179	FMT_EF
49	3.879014932	179	FMT_EF
50	4.842097479	179	FMT_EF
51	2.543662979	180	FMT_EF
52	3.500982249	180	FMT_EF
53	3.879506224	180	FMT_EF
54	3.205854898	181	FMT_EF
55	3.82230608	181	FMT_EF
56	4.829850388	181	FMT_EF
57	3.083136432	182	FMT_EF
58	4.712438808	182	FMT_EF
59	6.591722604	182	FMT_EF
60	12.46434355	MM064	FMT_YF
61	17.04216297	MM064	FMT_YF
62	20.83127268	MM064	FMT_YF
63	17.80290072	MM065	FMT_YF
64	15.56264553	MM065	FMT_YF
65	13.31020408	MM065	FMT_YF
66	5.389506456	MM068	FMT_EF
67	6.34457265	MM068	FMT_EF
68	6.798066729	MM068	FMT_EF
69	13.32273635	MM070	FMT_EF
70	18.69998562	MM070	FMT_EF
71	10.1710516	MM070	FMT_EF
